Code,Food Name,Energy_(kJ),Energy_(kcal),Water (g),Protein (g),Fat (g),Carb (g),Fibre (g),Ash (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Selenium (mcg),VitA_RAE,VitA_RE,Retinol,BetaCaratone,Thiamin,Riboflavin,Niacin,DietaryFolatEq,FoodFolate,VitB12,VitC
15124,Enriched Mandazi (East African Doughnuts; Enriched),1590,379,23.5,7.6,16.1,49.9,2.2,0.8,45.0,3.3,21,134,105,80.0,0.66,2.0,92.0,88.0,24.0,0.47,0.36,3.0,,21.0,0.57,0.7,
15125,Basic Mandazi (East African Doughnuts; Basic),1430,340,28.2,6.4,12.9,48.7,2.1,1.7,136.0,3.5,19,331,350,241.0,0.52,0.0,48.0,48.0,48.0,1.0,0.46,0.29,3.0,,17.0,0.4,0.0
15126,Stewed Split Dal,291,69,81.8,3.7,1.9,8.1,2.7,1.9,22.0,1.2,21,54,142,459.0,0.42,6.0,9.0,18.0,0.0,105.0,0.05,0.03,0.3,31.0,31.0,0.0,4.8
15127,Potato Curry,608,145,69.0,2.2,7.0,17.3,2.2,2.3,25.0,1.7,22,68,475,537.0,0.41,1.0,10.0,20.0,0.0,120.0,0.06,0.04,0.9,32.0,32.0,0.0,11.4
15128,Peas and Brinjal Curry,544,131,72.5,4.2,8.5,6.6,5.8,2.4,38.0,2.1,30,71,253,520.0,1.96,2.0,29.0,58.0,0.0,348.0,0.13,0.09,1.1,56.0,56.0,0.0,16.8
15129,Steamed Rice (Wali wa Mvuke),513,121,68.6,2.6,0.3,26.7,0.2,1.5,10.0,0.3,9,49,22,521.0,0.45,1.0,0.0,0.0,0.0,0.0,0.02,0.04,0.4,2.0,2.0,0.0,0.0
15130,Rotli (Indian Chapati),1560,374,21.6,8.0,16.7,43.8,7.9,2.0,25.0,2.7,83,199,234,354.0,1.64,27.0,44.0,46.0,42.0,25.0,0.32,0.09,2.2,,0.0,0.0,0.0
15131,Potato Bhajia,1960,471,15.1,8.6,31.0,37.1,4.8,3.5,29.0,3.0,39,132,783,587.0,0.78,2.0,5.0,9.0,1.0,50.0,0.17,0.09,1.8,81.0,81.0,0.0,8.2
15132,Chaas (Diluted Yoghurt),252,60,86.6,2.0,2.2,8.0,0.0,1.1,106.0,0.1,8,66,93,262.0,0.24,2.0,24.0,26.0,23.0,16.0,0.04,0.11,0.0,0.0,0.0,0.12,0.0
15133,Siro (Semolina & Nuts),1720,412,28.4,4.3,26.1,39.4,1.1,0.8,81.0,0.5,19,105,140,24.0,0.66,4.0,196.0,205.0,187.0,105.0,0.03,0.18,0.3,9.0,9.0,0.32,0.0
